epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5995,1.9512,3.71462,1.66644,0.30482,0.2334,0.22835,0.17091,1.44848,2.8401,1.3138,0.00015554,0.00015554,0.00015554
2,33.281,1.75586,2.20489,1.46031,0.52017,0.27798,0.26312,0.18736,1.56981,3.87768,1.51528,0.000319,0.000319,0.000319
3,46.4909,1.69186,1.73822,1.38298,0.7429,0.40698,0.48582,0.34978,1.41457,1.62541,1.30845,0.000479161,0.000479161,0.000479161
4,58.9073,1.71361,1.61765,1.40022,0.65548,0.4682,0.50162,0.35029,1.44825,1.7929,1.29038,0.000636022,0.000636022,0.000636022
5,72.3841,1.70756,1.52633,1.36426,0.75138,0.45886,0.48234,0.34875,1.44794,1.77239,1.29423,0.000789583,0.000789583,0.000789583
6,84.5917,1.68729,1.46807,1.36875,0.70768,0.51833,0.54459,0.38091,1.47367,1.32339,1.36074,0.000939845,0.000939845,0.000939845
7,97.6599,1.65802,1.38853,1.33484,0.65981,0.44593,0.4427,0.32581,1.41497,1.73847,1.30668,0.00104501,0.00104501,0.00104501
8,110.145,1.5575,1.31193,1.27712,0.60521,0.53467,0.42882,0.31486,1.42767,2.36893,1.36531,0.00103401,0.00103401,0.00103401
9,123.521,1.73066,1.41523,1.31323,0.8134,0.42741,0.55355,0.39994,1.38759,1.5497,1.27946,0.00102301,0.00102301,0.00102301
10,135.642,1.55195,1.33522,1.30328,0.59115,0.54531,0.56093,0.404,1.37982,1.3672,1.25673,0.00101201,0.00101201,0.00101201
11,149.886,1.70916,1.42066,1.36857,0.79562,0.52285,0.52947,0.36839,1.42955,1.97383,1.30333,0.00100101,0.00100101,0.00100101
12,162.652,1.58785,1.23485,1.29364,0.87933,0.55488,0.59984,0.42852,1.32544,1.11817,1.22044,0.000990012,0.000990012,0.000990012
