epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1112,3.15082,4.39174,2.19801,0.18071,0.55354,0.21614,0.0799,1.97298,4.35981,1.66431,0.00014443,0.00014443,0.00014443
2,35.745,1.93793,1.85124,1.41803,0.42744,0.53685,0.40965,0.16427,1.92311,3.10644,1.52047,0.00029502,0.00029502,0.00029502
3,49.05,1.93222,1.52611,1.41606,0.53079,0.6108,0.61489,0.22623,1.99952,1.87848,1.63925,0.000440478,0.000440478,0.000440478
4,63.1054,1.88855,1.36129,1.43933,0.61888,0.65777,0.68443,0.27947,1.9412,1.75278,1.60997,0.000580803,0.000580803,0.000580803
5,77.5236,1.85347,1.29964,1.40002,0.68932,0.64552,0.72207,0.30809,1.85142,1.4248,1.57028,0.000715995,0.000715995,0.000715995
6,91.2014,1.83093,1.29933,1.34509,0.69404,0.65132,0.70853,0.31596,1.86037,1.47524,1.58134,0.000846054,0.000846054,0.000846054
7,105.698,1.74801,1.14845,1.33934,0.70185,0.75192,0.8174,0.34512,1.97961,1.19742,1.65026,0.000970981,0.000970981,0.000970981
8,119.475,1.74221,1.07813,1.35253,0.74255,0.78978,0.8303,0.35078,1.93298,1.14441,1.67846,0.000982679,0.000982679,0.000982679
9,134.579,1.79789,1.08811,1.36416,0.75696,0.74967,0.77149,0.32621,1.9492,1.20359,1.67843,0.000964348,0.000964348,0.000964348
10,146.984,1.73194,1.10652,1.3806,0.72545,0.71058,0.75666,0.34613,1.87904,1.36312,1.56925,0.000946016,0.000946016,0.000946016
11,159.915,1.80438,1.07843,1.35041,0.74497,0.68397,0.7479,0.29254,2.03972,1.3008,1.60094,0.000927685,0.000927685,0.000927685
12,172.779,1.80399,1.07683,1.3464,0.76959,0.75688,0.85139,0.37686,1.88835,1.1863,1.59128,0.000909353,0.000909353,0.000909353
13,185.239,1.73886,1.00496,1.35318,0.72676,0.79133,0.85591,0.37975,1.82395,1.20669,1.57329,0.000891022,0.000891022,0.000891022
14,199.43,1.69371,1.05543,1.35505,0.81805,0.88367,0.8841,0.41537,1.78505,0.99736,1.5113,0.000872691,0.000872691,0.000872691
15,212.602,1.70931,0.97731,1.30541,0.79175,0.82402,0.89982,0.4071,1.81275,1.02199,1.5531,0.000854359,0.000854359,0.000854359
16,226.539,1.70403,0.9505,1.25932,0.81716,0.80715,0.83572,0.37823,1.81045,1.03763,1.51192,0.000836027,0.000836027,0.000836027
17,240.249,1.60178,0.92251,1.28192,0.807,0.91222,0.88403,0.41349,1.77598,0.92095,1.48728,0.000817696,0.000817696,0.000817696
18,254.184,1.68922,0.91015,1.28177,0.91041,0.91184,0.95841,0.42935,1.85365,0.89822,1.50257,0.000799365,0.000799365,0.000799365
19,268.013,1.61474,0.88185,1.29305,0.89213,0.9386,0.95533,0.44891,1.79466,0.84214,1.51743,0.000781033,0.000781033,0.000781033
20,282.67,1.60678,0.89691,1.3055,0.87461,0.87836,0.92769,0.44884,1.75744,0.90659,1.5164,0.000762702,0.000762702,0.000762702
21,295.698,1.602,0.86546,1.27226,0.906,0.89105,0.94113,0.45011,1.76499,0.8497,1.4983,0.00074437,0.00074437,0.00074437
22,310.969,1.56528,0.82086,1.27052,0.91693,0.88047,0.945,0.45817,1.76773,0.82184,1.50443,0.000726038,0.000726038,0.000726038
23,325.336,1.56966,0.83701,1.27162,0.90245,0.89285,0.94242,0.45542,1.74681,0.81665,1.49017,0.000707707,0.000707707,0.000707707
24,338.516,1.5958,0.87937,1.24176,0.8991,0.87559,0.91788,0.42102,1.84789,0.83793,1.51533,0.000689376,0.000689376,0.000689376
25,352.111,1.56796,0.80541,1.23707,0.89374,0.88237,0.91725,0.44293,1.81308,0.81449,1.52603,0.000671044,0.000671044,0.000671044
26,365.254,1.53808,0.80975,1.22695,0.85485,0.85334,0.89397,0.43424,1.82246,0.83436,1.52045,0.000652712,0.000652712,0.000652712
27,378.141,1.53252,0.81413,1.25442,0.84418,0.87531,0.90764,0.4474,1.79877,0.80617,1.53655,0.000634381,0.000634381,0.000634381
28,391.8,1.48993,0.78989,1.24924,0.91354,0.89269,0.94088,0.4579,1.79643,0.80164,1.52726,0.000616049,0.000616049,0.000616049
29,405.501,1.53575,0.81641,1.24107,0.86869,0.89547,0.93907,0.48287,1.70883,0.80838,1.49795,0.000597718,0.000597718,0.000597718
30,420.15,1.50315,0.78127,1.22214,0.87431,0.93062,0.93303,0.45874,1.79077,0.80338,1.50261,0.000579386,0.000579386,0.000579386
31,434.152,1.51468,0.79191,1.21385,0.83056,0.86677,0.88133,0.4054,1.92519,0.813,1.56597,0.000561055,0.000561055,0.000561055
32,449.314,1.51849,0.79429,1.17673,0.90508,0.8865,0.9385,0.43631,1.83394,0.812,1.5108,0.000542723,0.000542723,0.000542723
33,461.32,1.47958,0.75942,1.19798,0.88193,0.9007,0.94132,0.46248,1.72503,0.76385,1.46061,0.000524392,0.000524392,0.000524392
34,475.686,1.48051,0.76612,1.19575,0.8631,0.88595,0.93935,0.4616,1.76635,0.77766,1.50733,0.00050606,0.00050606,0.00050606
35,489.737,1.45702,0.76089,1.2143,0.88678,0.9089,0.92478,0.44585,1.80277,0.77961,1.53606,0.000487729,0.000487729,0.000487729
36,503.176,1.43973,0.75599,1.19477,0.76405,0.87953,0.88934,0.44488,1.75384,0.90768,1.50714,0.000469397,0.000469397,0.000469397
37,516.904,1.4297,0.76383,1.20193,0.86715,0.88481,0.90776,0.46167,1.78661,0.7818,1.55925,0.000451066,0.000451066,0.000451066
